course_id,course,course_code,course_starts,course_ends,course_length,credit,learning_hours,cost,cost_canada,cost_intl,maximum_capacity,coure_code_enrolment,course_enrolment,revenue,minimum_enrolment,on_demand,on_demand_duration,Month_Diff
533,CCMC03,CCMC,201602,201604,63,0,5,113,113,113,700,84,,,,,,1
578,CCMC03,CCMC,201603,201605,56,0,5,113,113,113,700,63,,,,,,2
556,CCMC01,CCMC,201605,201607,63,0,5,113,113,113,700,95,,,,,,4
565,CCMC01,CCMC,201607,201609,63,0,5,113,113,113,700,135,,,,,,6
615,CCMC01,CCMC,201608,201610,56,0,5,113,113,113,700,89,,,,,,7
604,CCMC02,CCMC,201610,201612,55,0,5,113,113,113,700,309,,,,,,9
658,CCMC02,CCMC,201611,201701,55,0,5,113,113,113,700,30,,,,,,10
644,CCMC03,CCMC,201701,201702,55,0,5,113,113,113,700,128,,,,,,12
653,CCMC03,CCMC,201702,201704,56,0,5,113,113,113,700,99,,,,,,13
659,CCMC03,CCMC,201703,201705,56,0,5,113,113,113,700,101,,,,,,14
660,CCMC03,CCMC,201704,201705,55,0,5,113,113,113,700,93,,,,,,15
661,CCMC01,CCMC,201705,201706,56,0,5,113,113,113,700,92,,,,,,16
693,CCMC01,CCMC,201705,201707,56,0,5,113,113,113,700,60,,,,,,16
694,CCMC01,CCMC,201707,201708,56,0,5,113,113,113,700,108,,,,,,18
695,CCMC01,CCMC,201708,201710,56,0,5,113,113,113,700,119,,,,,,19
696,CCMC02,CCMC,201710,201711,56,0,5,113,113,113,700,158,,,,,,21
715,CCMC02,CCMC,201711,201801,49,0,5,113,113,113,700,110,,,,,,22
716,CCMC03,CCMC,201801,201802,55,0,5,113,113,113,700,97,,,,,,24
729,CCMC03,CCMC,201802,201804,56,0,5,113,113,113,700,43,,,,,,25
732,CCMC04,CCMC,201802,201804,56,0,5,113,113,113,700,6,,,,,,25
730,CCMC03,CCMC,201803,201804,56,0,5,113,113,113,700,15,,,,,,26
731,CCMC03,CCMC,201804,201806,56,0,5,113,113,113,700,1,,,,,,27
733,CCMC01,CCMC,201805,201807,56,0,5,113,113,113,700,1,,,,,,28
